AFFY ID	AGI
259499_at	At1g15730
259500_at	At1g15740
259501_at	At1g15750
259488_at	At1g15780
259489_at	At1g15790
259505_at	At1g15810
259492_at	At1g15830
259493_at	At1g15840
259494_at	At1g15850
259497_at	At1g15860
259503_at	At1g15870
259498_at	At1g15880
259495_at	At1g15890
259496_at	At1g15900
261841_at	At1g15920
261789_at	At1g15930
261844_at	At1g15940
261792_at	At1g15950
261845_at	At1g15960
261788_at	At1g15980
261786_at	At1g15990
261790_at	At1g16000
261795_at	At1g16010
261787_at	At1g16020
261838_at	At1g16030
261839_at	At1g16040
261794_at	At1g16060
261840_at	At1g16070
261793_at	At1g16080
261836_at	At1g16090
257478_at	At1g16130
257479_at	At1g16150
261842_at	At1g16160
261791_at	At1g16170
261843_at	At1g16180
262708_at	At1g16190
262710_at	At1g16210
262702_at	At1g16220
262709_at	At1g16240
262705_at	At1g16260
262706_at	At1g16280
262707_at	At1g16290
262751_at	At1g16310
262752_at	At1g16330
262753_at	At1g16340
262754_at	At1g16350
